road_sec_id,ms_no,all_car,line_up_car,time,road,turn,time_min
520,16813692000,3,2,15:00:00,路口2,左,15:00
520,16813692010,4,2,15:00:01,路口2,左,15:00
520,16813692020,4,1,15:00:02,路口2,左,15:00
520,16813692030,5,2,15:00:03,路口2,左,15:00
520,16813692040,5,2,15:00:04,路口2,左,15:00
520,16813692050,5,2,15:00:05,路口2,左,15:00
520,16813692060,5,2,15:00:06,路口2,左,15:00
520,16813692070,6,2,15:00:07,路口2,左,15:00
520,16813692080,3,2,15:00:08,路口2,左,15:00
520,16813692090,7,2,15:00:09,路口2,左,15:00
520,16813692100,7,4,15:00:10,路口2,左,15:00
520,16813692110,8,6,15:00:11,路口2,左,15:00
520,16813692120,8,6,15:00:12,路口2,左,15:00
520,16813692130,8,6,15:00:13,路口2,左,15:00
520,16813692140,8,7,15:00:14,路口2,左,15:00
520,16813692150,8,7,15:00:15,路口2,左,15:00
520,16813692160,8,6,15:00:16,路口2,左,15:00
520,16813692170,8,6,15:00:17,路口2,左,15:00
520,16813692180,8,5,15:00:18,路口2,左,15:00
520,16813692190,7,4,15:00:19,路口2,左,15:00
520,16813692200,7,1,15:00:20,路口2,左,15:00
520,16813692210,6,0,15:00:21,路口2,左,15:00
520,16813692220,5,0,15:00:22,路口2,左,15:00
520,16813692230,4,0,15:00:23,路口2,左,15:00
520,16813692240,5,0,15:00:24,路口2,左,15:00
520,16813692250,5,0,15:00:25,路口2,左,15:00
520,16813692260,5,0,15:00:26,路口2,左,15:00
520,16813692270,6,0,15:00:27,路口2,左,15:00
520,16813692280,5,0,15:00:28,路口2,左,15:00
520,16813692290,5,0,15:00:29,路口2,左,15:00
520,16813692300,5,0,15:00:30,路口2,左,15:00
520,16813692310,4,0,15:00:31,路口2,左,15:00
520,16813692320,4,0,15:00:32,路口2,左,15:00
520,16813692330,3,0,15:00:33,路口2,左,15:00
520,16813692340,3,0,15:00:34,路口2,左,15:00
520,16813692350,4,0,15:00:35,路口2,左,15:00
520,16813692360,4,0,15:00:36,路口2,左,15:00
520,16813692370,4,0,15:00:37,路口2,左,15:00
520,16813692380,3,0,15:00:38,路口2,左,15:00
520,16813692390,3,0,15:00:39,路口2,左,15:00
520,16813692400,2,0,15:00:40,路口2,左,15:00
520,16813692410,2,0,15:00:41,路口2,左,15:00
520,16813692420,2,0,15:00:42,路口2,左,15:00
520,16813692430,2,0,15:00:43,路口2,左,15:00
520,16813692440,1,0,15:00:44,路口2,左,15:00
520,16813692450,1,0,15:00:45,路口2,左,15:00
520,16813692460,1,0,15:00:46,路口2,左,15:00
520,16813692470,1,0,15:00:47,路口2,左,15:00
520,16813692480,1,1,15:00:48,路口2,左,15:00
520,16813692490,1,1,15:00:49,路口2,左,15:00
520,16813692500,1,1,15:00:50,路口2,左,15:00
520,16813692510,1,1,15:00:51,路口2,左,15:00
520,16813692520,1,1,15:00:52,路口2,左,15:00
520,16813692530,1,1,15:00:53,路口2,左,15:00
520,16813692540,1,1,15:00:54,路口2,左,15:00
