road_sec_id,ms_no,all_car,line_up_car,time,road,turn,time_min
373,16813584000,2,2,12:00:00,路口4,左,12:00
373,16813584010,2,2,12:00:01,路口4,左,12:00
373,16813584020,2,2,12:00:02,路口4,左,12:00
373,16813584030,2,2,12:00:03,路口4,左,12:00
373,16813584040,2,2,12:00:04,路口4,左,12:00
373,16813584050,2,2,12:00:05,路口4,左,12:00
373,16813584060,2,2,12:00:06,路口4,左,12:00
373,16813584070,2,2,12:00:07,路口4,左,12:00
373,16813584080,2,2,12:00:08,路口4,左,12:00
373,16813584090,2,2,12:00:09,路口4,左,12:00
373,16813584100,2,2,12:00:10,路口4,左,12:00
373,16813584110,2,2,12:00:11,路口4,左,12:00
373,16813584120,2,2,12:00:12,路口4,左,12:00
373,16813584130,2,2,12:00:13,路口4,左,12:00
373,16813584140,2,2,12:00:14,路口4,左,12:00
373,16813584150,2,2,12:00:15,路口4,左,12:00
373,16813584160,2,2,12:00:16,路口4,左,12:00
373,16813584170,2,2,12:00:17,路口4,左,12:00
373,16813584180,2,2,12:00:18,路口4,左,12:00
373,16813584190,2,2,12:00:19,路口4,左,12:00
373,16813584200,2,2,12:00:20,路口4,左,12:00
373,16813584210,2,2,12:00:21,路口4,左,12:00
373,16813584220,2,2,12:00:22,路口4,左,12:00
373,16813584230,2,2,12:00:23,路口4,左,12:00
373,16813584240,2,2,12:00:24,路口4,左,12:00
373,16813584250,2,2,12:00:25,路口4,左,12:00
373,16813584260,2,2,12:00:26,路口4,左,12:00
373,16813584270,2,2,12:00:27,路口4,左,12:00
373,16813584280,2,2,12:00:28,路口4,左,12:00
373,16813584290,2,2,12:00:29,路口4,左,12:00
373,16813584300,2,2,12:00:30,路口4,左,12:00
373,16813584310,2,2,12:00:31,路口4,左,12:00
373,16813584320,2,2,12:00:32,路口4,左,12:00
373,16813584330,2,2,12:00:33,路口4,左,12:00
373,16813584340,2,2,12:00:34,路口4,左,12:00
373,16813584350,3,2,12:00:35,路口4,左,12:00
373,16813584360,3,2,12:00:36,路口4,左,12:00
373,16813584370,3,2,12:00:37,路口4,左,12:00
373,16813584380,3,2,12:00:38,路口4,左,12:00
373,16813584390,3,2,12:00:39,路口4,左,12:00
373,16813584400,4,2,12:00:40,路口4,左,12:00
