road_sec_id,ms_no,all_car,line_up_car,time,road
373,16813404360,1,0,7:00:36,路口4
373,16813404370,1,0,7:00:37,路口4
373,16813404380,1,0,7:00:38,路口4
373,16813404390,1,0,7:00:39,路口4
373,16813404400,1,0,7:00:40,路口4
373,16813404410,1,0,7:00:41,路口4
373,16813404420,1,0,7:00:42,路口4
373,16813404430,2,0,7:00:43,路口4
373,16813404440,1,0,7:00:44,路口4
373,16813404450,1,0,7:00:45,路口4
373,16813404460,2,0,7:00:46,路口4
373,16813404470,2,0,7:00:47,路口4
373,16813404480,2,0,7:00:48,路口4
373,16813404490,3,0,7:00:49,路口4
373,16813404500,3,0,7:00:50,路口4
373,16813404510,4,0,7:00:51,路口4
373,16813404520,5,2,7:00:52,路口4
373,16813404530,5,2,7:00:53,路口4
373,16813404540,4,2,7:00:54,路口4
373,16813404550,7,4,7:00:55,路口4
373,16813404560,5,1,7:00:56,路口4
373,16813404570,6,0,7:00:57,路口4
373,16813404580,6,0,7:00:58,路口4
373,16813404590,5,0,7:00:59,路口4
373,16813404600,5,0,7:01:00,路口4
373,16813404610,3,0,7:01:01,路口4
373,16813404620,4,0,7:01:02,路口4
373,16813404630,4,0,7:01:03,路口4
373,16813404640,3,0,7:01:04,路口4
373,16813404650,2,0,7:01:05,路口4
373,16813404660,2,0,7:01:06,路口4
373,16813404670,4,0,7:01:07,路口4
373,16813404680,2,0,7:01:08,路口4
373,16813404690,2,0,7:01:09,路口4
373,16813404700,0,0,7:01:10,路口4
373,16813404710,0,0,7:01:11,路口4
373,16813404720,0,0,7:01:12,路口4
373,16813404730,0,0,7:01:13,路口4
373,16813404740,0,0,7:01:14,路口4
373,16813404750,0,0,7:01:15,路口4
373,16813404760,0,0,7:01:16,路口4
373,16813404770,0,0,7:01:17,路口4
373,16813404780,0,0,7:01:18,路口4
373,16813404790,0,0,7:01:19,路口4
373,16813404800,0,0,7:01:20,路口4
373,16813404810,0,0,7:01:21,路口4
373,16813404820,0,0,7:01:22,路口4
373,16813404830,0,0,7:01:23,路口4
373,16813404840,0,0,7:01:24,路口4
373,16813404850,0,0,7:01:25,路口4
373,16813404860,0,0,7:01:26,路口4
373,16813404870,0,0,7:01:27,路口4
373,16813404880,0,0,7:01:28,路口4
373,16813404890,0,0,7:01:29,路口4
373,16813404900,0,0,7:01:30,路口4
373,16813404910,0,0,7:01:31,路口4
373,16813404920,0,0,7:01:32,路口4
373,16813404930,0,0,7:01:33,路口4
373,16813404940,0,0,7:01:34,路口4
373,16813404950,0,0,7:01:35,路口4
373,16813404960,0,0,7:01:36,路口4
