road_sec_id,ms_no,all_car,line_up_car,time,road
115,16813692000,1,0,15:00:00,路口1
115,16813692010,1,0,15:00:01,路口1
115,16813692020,0,0,15:00:02,路口1
115,16813692030,0,0,15:00:03,路口1
115,16813692040,0,0,15:00:04,路口1
115,16813692050,0,0,15:00:05,路口1
115,16813692060,0,0,15:00:06,路口1
115,16813692070,0,0,15:00:07,路口1
115,16813692080,0,0,15:00:08,路口1
115,16813692090,0,0,15:00:09,路口1
115,16813692100,0,0,15:00:10,路口1
115,16813692110,0,0,15:00:11,路口1
115,16813692120,0,0,15:00:12,路口1
115,16813692130,0,0,15:00:13,路口1
115,16813692140,0,0,15:00:14,路口1
115,16813692150,0,0,15:00:15,路口1
115,16813692160,0,0,15:00:16,路口1
115,16813692170,0,0,15:00:17,路口1
115,16813692180,0,0,15:00:18,路口1
115,16813692190,0,0,15:00:19,路口1
115,16813692200,0,0,15:00:20,路口1
115,16813692210,0,0,15:00:21,路口1
115,16813692220,0,0,15:00:22,路口1
115,16813692230,0,0,15:00:23,路口1
115,16813692240,0,0,15:00:24,路口1
115,16813692250,0,0,15:00:25,路口1
115,16813692260,0,0,15:00:26,路口1
115,16813692270,0,0,15:00:27,路口1
115,16813692280,0,0,15:00:28,路口1
115,16813692290,0,0,15:00:29,路口1
115,16813692300,0,0,15:00:30,路口1
115,16813692310,0,0,15:00:31,路口1
115,16813692320,0,0,15:00:32,路口1
115,16813692330,0,0,15:00:33,路口1
115,16813692340,0,0,15:00:34,路口1
115,16813692350,0,0,15:00:35,路口1
115,16813692360,1,0,15:00:36,路口1
115,16813692370,1,0,15:00:37,路口1
115,16813692380,1,0,15:00:38,路口1
115,16813692390,0,0,15:00:39,路口1
115,16813692400,0,0,15:00:40,路口1
115,16813692410,0,0,15:00:41,路口1
115,16813692420,0,0,15:00:42,路口1
115,16813692430,1,0,15:00:43,路口1
115,16813692440,1,0,15:00:44,路口1
115,16813692450,1,0,15:00:45,路口1
115,16813692460,1,0,15:00:46,路口1
115,16813692470,1,0,15:00:47,路口1
115,16813692480,0,0,15:00:48,路口1
115,16813692490,0,0,15:00:49,路口1
115,16813692500,0,0,15:00:50,路口1
115,16813692510,0,0,15:00:51,路口1
115,16813692520,0,0,15:00:52,路口1
115,16813692530,0,0,15:00:53,路口1
115,16813692540,0,0,15:00:54,路口1
115,16813692550,0,0,15:00:55,路口1
115,16813692560,0,0,15:00:56,路口1
115,16813692570,0,0,15:00:57,路口1
115,16813692580,0,0,15:00:58,路口1
115,16813692590,0,0,15:00:59,路口1
115,16813692600,0,0,15:01:00,路口1
115,16813692610,0,0,15:01:01,路口1
115,16813692620,0,0,15:01:02,路口1
115,16813692630,0,0,15:01:03,路口1
115,16813692640,0,0,15:01:04,路口1
115,16813692650,0,0,15:01:05,路口1
115,16813692660,0,0,15:01:06,路口1
115,16813692670,0,0,15:01:07,路口1
115,16813692680,0,0,15:01:08,路口1
115,16813692690,0,0,15:01:09,路口1
115,16813692700,0,0,15:01:10,路口1
115,16813692710,0,0,15:01:11,路口1
115,16813692720,0,0,15:01:12,路口1
115,16813692730,0,0,15:01:13,路口1
115,16813692740,0,0,15:01:14,路口1
115,16813692750,0,0,15:01:15,路口1
115,16813692760,0,0,15:01:16,路口1
115,16813692770,0,0,15:01:17,路口1
115,16813692780,0,0,15:01:18,路口1
115,16813692790,0,0,15:01:19,路口1
115,16813692800,0,0,15:01:20,路口1
115,16813692810,0,0,15:01:21,路口1
115,16813692820,0,0,15:01:22,路口1
115,16813692830,0,0,15:01:23,路口1
115,16813692840,0,0,15:01:24,路口1
115,16813692850,0,0,15:01:25,路口1
115,16813692860,0,0,15:01:26,路口1
115,16813692870,0,0,15:01:27,路口1
115,16813692880,0,0,15:01:28,路口1
115,16813692890,0,0,15:01:29,路口1
115,16813692900,0,0,15:01:30,路口1
115,16813692910,0,0,15:01:31,路口1
115,16813692920,0,0,15:01:32,路口1
115,16813692930,0,0,15:01:33,路口1
115,16813692940,0,0,15:01:34,路口1
115,16813692950,0,0,15:01:35,路口1
115,16813692960,0,0,15:01:36,路口1
115,16813692970,0,0,15:01:37,路口1
115,16813692980,0,0,15:01:38,路口1
115,16813692990,0,0,15:01:39,路口1
115,16813693000,0,0,15:01:40,路口1
115,16813693010,0,0,15:01:41,路口1
115,16813693020,0,0,15:01:42,路口1
115,16813693030,0,0,15:01:43,路口1
115,16813693040,0,0,15:01:44,路口1
115,16813693050,0,0,15:01:45,路口1
115,16813693060,0,0,15:01:46,路口1
115,16813693070,0,0,15:01:47,路口1
115,16813693080,0,0,15:01:48,路口1
