0,1,2,3,4,5,time_id,turn,cross_id,avg_delay,time_min,croid
520,16813620000,32,13:00:00,22.041666666666668,路口2,0,左,4,31.68669871794872,13:00,1
520,16813623000,32,13:05:00,25.09375,路口2,1,左,4,23.910342261904763,13:05,1
520,16813626000,39,13:10:00,31.46875,路口2,2,左,4,28.25677083333333,13:10,1
520,16813629000,36,13:15:00,18.75,路口2,3,左,4,28.963541666666664,13:15,1
520,16813632000,26,13:20:00,34.666666666666664,路口2,4,左,4,35.8125,13:20,1
520,16813635000,43,13:25:00,29.375,路口2,5,左,4,33.927083333333336,13:25,1
520,16813638000,37,13:30:00,19.8,路口2,6,左,4,42.08888888888889,13:30,1
520,16813641000,33,13:35:00,30.666666666666668,路口2,7,左,4,29.78472222222222,13:35,1
520,16813644000,42,13:40:00,26.83333333333333,路口2,8,左,4,30.40833333333333,13:40,1
520,16813647000,41,13:45:00,13.764705882352942,路口2,9,左,4,33.26102941176471,13:45,1
520,16813650000,32,13:50:00,30.535714285714285,路口2,10,左,4,32.35267857142857,13:50,1
520,16813653000,40,13:55:00,83.5,路口2,11,左,4,41.87083333333334,13:55,1
526,16813620000,36,13:00:00,39.53846153846154,路口2,0,右,5,31.68669871794872,13:00,1
526,16813623000,29,13:05:00,36.21428571428572,路口2,1,右,5,23.910342261904763,13:05,1
526,16813626000,29,13:10:00,40.333333333333336,路口2,2,右,5,28.25677083333333,13:10,1
526,16813629000,29,13:15:00,44.4375,路口2,3,右,5,28.963541666666664,13:15,1
526,16813632000,31,13:20:00,43.333333333333336,路口2,4,右,5,35.8125,13:20,1
526,16813635000,38,13:25:00,41.583333333333336,路口2,5,右,5,33.927083333333336,13:25,1
526,16813638000,26,13:30:00,61.05555555555556,路口2,6,右,5,42.08888888888889,13:30,1
526,16813641000,35,13:35:00,41.55555555555556,路口2,7,右,5,29.78472222222222,13:35,1
526,16813644000,41,13:40:00,36.46666666666667,路口2,8,右,5,30.40833333333333,13:40,1
526,16813647000,38,13:45:00,37.52941176470589,路口2,9,右,5,33.26102941176471,13:45,1
526,16813650000,39,13:50:00,40.25,路口2,10,右,5,32.35267857142857,13:50,1
526,16813653000,36,13:55:00,34.083333333333336,路口2,11,右,5,41.87083333333334,13:55,1
532,16813620360,11,13:00:36,16.833333333333332,路口2,0,下,6,31.68669871794872,13:00,1
532,16813623360,13,13:05:36,22.166666666666668,路口2,1,下,6,23.910342261904763,13:05,1
532,16813626360,12,13:10:36,20.1,路口2,2,下,6,28.25677083333333,13:10,1
532,16813629360,7,13:15:36,4.166666666666667,路口2,3,下,6,28.963541666666664,13:15,1
532,16813632360,14,13:20:36,25.75,路口2,4,下,6,35.8125,13:20,1
532,16813635360,15,13:25:36,42.75,路口2,5,下,6,33.927083333333336,13:25,1
532,16813638360,6,13:30:36,42.0,路口2,6,下,6,42.08888888888889,13:30,1
532,16813641360,9,13:35:36,13.166666666666666,路口2,7,下,6,29.78472222222222,13:35,1
532,16813644360,13,13:40:36,9.833333333333334,路口2,8,下,6,30.40833333333333,13:40,1
532,16813647360,9,13:45:36,28.0,路口2,9,下,6,33.26102941176471,13:45,1
532,16813650360,8,13:50:36,55.625,路口2,10,下,6,32.35267857142857,13:50,1
532,16813653360,6,13:55:36,28.0,路口2,11,下,6,41.87083333333334,13:55,1
539,16813620160,18,13:00:16,48.333333333333336,路口2,0,上,7,31.68669871794872,13:00,1
539,16813623160,6,13:05:16,12.166666666666666,路口2,1,上,7,23.910342261904763,13:05,1
539,16813626160,5,13:10:16,21.125,路口2,2,上,7,28.25677083333333,13:10,1
539,16813629160,7,13:15:16,48.5,路口2,3,上,7,28.963541666666664,13:15,1
539,16813632160,6,13:20:16,39.5,路口2,4,上,7,35.8125,13:20,1
539,16813635160,10,13:25:16,22.0,路口2,5,上,7,33.927083333333336,13:25,1
539,16813638160,5,13:30:16,45.5,路口2,6,上,7,42.08888888888889,13:30,1
539,16813641160,11,13:35:16,33.75,路口2,7,上,7,29.78472222222222,13:35,1
539,16813644160,6,13:40:16,48.5,路口2,8,上,7,30.40833333333333,13:40,1
539,16813647160,8,13:45:16,53.75,路口2,9,上,7,33.26102941176471,13:45,1
539,16813650160,3,13:50:16,3.0,路口2,10,上,7,32.35267857142857,13:50,1
539,16813653160,7,13:55:16,21.9,路口2,11,上,7,41.87083333333334,13:55,1
