0,1,2,3,4,5,time_id,turn,cross_id,avg_delay,time_min,croid,max_delay
14,16813656000,35,14:00:00,8.285714285714286,路口6,0,右,20,36.445238095238096,14:00,5,58.3
14,16813659000,29,14:05:00,6.066666666666666,路口6,1,右,20,25.959722222222226,14:05,5,40.3125
14,16813662000,22,14:10:00,15.444444444444445,路口6,2,右,20,30.59814814814815,14:10,5,51.75
14,16813665000,25,14:15:00,9.8125,路口6,3,右,20,29.03273809523809,14:15,5,44.785714285714285
14,16813668000,31,14:20:00,21.22222222222222,路口6,4,右,20,30.77824074074074,14:20,5,36.3125
14,16813671000,26,14:25:00,16.25,路口6,5,右,20,28.625,14:25,5,40.625
14,16813674000,34,14:30:00,4.833333333333333,路口6,6,右,20,28.88888888888889,14:30,5,55.333333333333336
14,16813677000,19,14:35:00,13.35,路口6,7,右,20,27.433333333333337,14:35,5,35.25
14,16813680000,30,14:40:00,14.857142857142858,路口6,8,右,20,32.81349206349207,14:40,5,43.833333333333336
14,16813683000,27,14:45:00,8.454545454545455,路口6,9,右,20,28.297348484848484,14:45,5,43.9375
14,16813686000,29,14:50:00,11.875,路口6,10,右,20,28.791666666666668,14:50,5,44.5
14,16813689000,19,14:55:00,7.6875,路口6,11,右,20,23.32361111111111,14:55,5,40.083333333333336
5,16813656000,25,14:00:00,42.75,路口6,0,左,19,36.445238095238096,14:00,5,58.3
5,16813659000,34,14:05:00,40.3125,路口6,1,左,19,25.959722222222226,14:05,5,40.3125
5,16813662000,19,14:10:00,51.75,路口6,2,左,19,30.59814814814815,14:10,5,51.75
5,16813665000,31,14:15:00,44.785714285714285,路口6,3,左,19,29.03273809523809,14:15,5,44.785714285714285
5,16813668000,22,14:20:00,36.3125,路口6,4,左,19,30.77824074074074,14:20,5,36.3125
5,16813671000,16,14:25:00,40.625,路口6,5,左,19,28.625,14:25,5,40.625
5,16813674000,35,14:30:00,55.333333333333336,路口6,6,左,19,28.88888888888889,14:30,5,55.333333333333336
5,16813677000,21,14:35:00,33.7,路口6,7,左,19,27.433333333333337,14:35,5,35.25
5,16813680000,17,14:40:00,43.833333333333336,路口6,8,左,19,32.81349206349207,14:40,5,43.833333333333336
5,16813683000,30,14:45:00,43.9375,路口6,9,左,19,28.297348484848484,14:45,5,43.9375
5,16813686000,17,14:50:00,30.0,路口6,10,左,19,28.791666666666668,14:50,5,44.5
5,16813689000,27,14:55:00,40.083333333333336,路口6,11,左,19,23.32361111111111,14:55,5,40.083333333333336
81,16813656725,9,14:01:12,58.3,路口6,0,上,21,36.445238095238096,14:00,5,58.3
81,16813659725,13,14:06:12,31.5,路口6,1,上,21,25.959722222222226,14:05,5,40.3125
81,16813662725,15,14:11:12,24.6,路口6,2,上,21,30.59814814814815,14:10,5,51.75
81,16813665725,11,14:16:12,32.5,路口6,3,上,21,29.03273809523809,14:15,5,44.785714285714285
81,16813668725,7,14:21:12,34.8,路口6,4,上,21,30.77824074074074,14:20,5,36.3125
81,16813671725,10,14:26:12,29.0,路口6,5,上,21,28.625,14:25,5,40.625
81,16813674725,15,14:31:12,26.5,路口6,6,上,21,28.88888888888889,14:30,5,55.333333333333336
81,16813677725,17,14:36:12,35.25,路口6,7,上,21,27.433333333333337,14:35,5,35.25
81,16813680725,16,14:41:12,39.75,路口6,8,上,21,32.81349206349207,14:40,5,43.833333333333336
81,16813683725,7,14:46:12,32.5,路口6,9,上,21,28.297348484848484,14:45,5,43.9375
81,16813686725,19,14:51:12,44.5,路口6,10,上,21,28.791666666666668,14:50,5,44.5
81,16813689725,21,14:56:12,22.2,路口6,11,上,21,23.32361111111111,14:55,5,40.083333333333336
