id,seq,is_moving,position,shape,orientation,velocity,type,heading,time_meas,ms_no,road_sec_id,fid,turn_type,category,time,road,event_name
213164182,280697462,1,"{""x"":32.24377,""y"":-397.18253,""z"":12.911611}","{""x"":0.6186637,""y"":0.61822927,""z"":1.6495951}",0.024544904,1.5045883999999998,2,0.024544904,1681347926099750,16813479260,1001,1004,1,1,09:05:26,道路13,行人横穿马路
213060179,280697027,1,"{""x"":42.244987,""y"":-377.14932,""z"":12.935188}","{""x"":0.6437701,""y"":0.63157135,""z"":1.6362834}",2.8550231,1.1596053,2,2.8550231,1681347882599870,16813478825,1003,1007,0,1,09:04:42,道路13,行人横穿马路
212432621,280694532,1,"{""x"":42.934135,""y"":-377.864,""z"":12.906258}","{""x"":0.63690746,""y"":0.62003666,""z"":1.664589}",1.8686575,1.3806816,2,1.8686575,1681347633099799,16813476330,1003,1007,0,1,09:00:33,道路13,行人横穿马路
217209893,280714197,1,"{""x"":51.724823,""y"":-359.89233,""z"":13.0425825}","{""x"":0.6370527,""y"":0.6078563,""z"":1.6513329}",0.2238485999999999,1.2317902,2,0.2238485999999999,1681349599599860,16813495995,1003,1007,0,1,09:33:19,道路13,行人横穿马路
216950270,280713142,1,"{""x"":40.49798,""y"":-384.02002,""z"":12.923844}","{""x"":0.6535618,""y"":0.65301967,""z"":1.6664697}",-0.9506991,1.0484009,2,-0.9506991,1681349494099801,16813494940,1003,1007,0,1,09:31:34,道路13,行人横穿马路
219289552,280723532,1,"{""x"":44.610985,""y"":-374.33383,""z"":12.950173}","{""x"":1.242132,""y"":0.6806704,""z"":1.6361834}",-0.81785357,1.401497,2,-0.81785357,1681350533099693,16813505330,1003,1007,0,1,09:48:53,道路13,行人横穿马路
216772015,280712352,1,"{""x"":47.03974,""y"":-365.30002,""z"":13.189835}","{""x"":0.661662,""y"":0.62690914,""z"":1.6686581}",2.9177117,1.6911445,2,2.9177117,1681349415099845,16813494150,1003,1007,0,1,09:30:15,道路13,行人横穿马路
220115358,280726772,1,"{""x"":52.917526,""y"":-355.25317,""z"":13.073178}","{""x"":0.69093955,""y"":0.6449429,""z"":1.6982492}",0.6009814,1.3491648,2,0.6009814,1681350857099818,16813508570,1003,1007,0,1,09:54:17,道路13,行人横穿马路
217017361,280713452,1,"{""x"":46.469265,""y"":-367.6032,""z"":13.102524}","{""x"":0.6738753,""y"":0.6527347,""z"":1.6480603}",0.088210665,1.3579332,2,0.088210665,1681349525099751,16813495250,1003,1007,0,1,09:32:05,道路13,行人横穿马路
217067106,280713582,1,"{""x"":51.951054,""y"":-355.5805,""z"":12.949028}","{""x"":0.7948496,""y"":0.7594276,""z"":1.6503251}",-0.41273078,0.9754417,2,-0.41273078,1681349538099932,16813495380,1003,1007,0,1,09:32:18,道路13,行人横穿马路
