road_sec_id,ms_no,all_car,line_up_car,time,road,turn,time_min
14,16813656000,1,0,14:00:00,路口6,右,14:00
14,16813656010,1,0,14:00:01,路口6,右,14:00
14,16813656020,1,0,14:00:02,路口6,右,14:00
14,16813656030,1,0,14:00:03,路口6,右,14:00
14,16813656040,1,1,14:00:04,路口6,右,14:00
14,16813656050,1,1,14:00:05,路口6,右,14:00
14,16813656060,1,1,14:00:06,路口6,右,14:00
14,16813656070,1,1,14:00:07,路口6,右,14:00
14,16813656080,1,1,14:00:08,路口6,右,14:00
14,16813656090,1,1,14:00:09,路口6,右,14:00
14,16813656100,1,1,14:00:10,路口6,右,14:00
14,16813656110,1,1,14:00:11,路口6,右,14:00
14,16813656120,1,1,14:00:12,路口6,右,14:00
14,16813656130,1,1,14:00:13,路口6,右,14:00
14,16813656140,1,1,14:00:14,路口6,右,14:00
14,16813656150,1,1,14:00:15,路口6,右,14:00
14,16813656160,1,1,14:00:16,路口6,右,14:00
14,16813656170,1,1,14:00:17,路口6,右,14:00
14,16813656180,1,1,14:00:18,路口6,右,14:00
14,16813656190,1,1,14:00:19,路口6,右,14:00
14,16813656200,1,1,14:00:20,路口6,右,14:00
14,16813656210,1,1,14:00:21,路口6,右,14:00
14,16813656220,1,1,14:00:22,路口6,右,14:00
14,16813656230,1,1,14:00:23,路口6,右,14:00
14,16813656240,1,1,14:00:24,路口6,右,14:00
14,16813656250,1,1,14:00:25,路口6,右,14:00
14,16813656260,1,1,14:00:26,路口6,右,14:00
14,16813656270,1,1,14:00:27,路口6,右,14:00
14,16813656280,1,1,14:00:28,路口6,右,14:00
14,16813656290,1,1,14:00:29,路口6,右,14:00
14,16813656300,1,1,14:00:30,路口6,右,14:00
14,16813656310,1,1,14:00:31,路口6,右,14:00
14,16813656320,1,1,14:00:32,路口6,右,14:00
14,16813656330,1,1,14:00:33,路口6,右,14:00
14,16813656340,1,1,14:00:34,路口6,右,14:00
14,16813656350,2,1,14:00:35,路口6,右,14:00
14,16813656360,2,1,14:00:36,路口6,右,14:00
14,16813656370,2,0,14:00:37,路口6,右,14:00
14,16813656380,0,0,14:00:38,路口6,右,14:00
14,16813656390,0,0,14:00:39,路口6,右,14:00
14,16813656400,0,0,14:00:40,路口6,右,14:00
