sec_id,v_mean,t,occupancy,delay_point,health_point,H_M_S,road_name,time_id,road_id,avg_delay,time_min
10,10.140550507264958,16813656505,0.0477181092602472,1.0642274216048164,94.7415030012662,14:00:50,道路8_向右,0,14,1.0486201628907224,14:00
10,11.02008146611111,16813659505,0.0367062378924979,0.97928966797451,95.3052605587752,14:05:50,道路8_向右,1,14,1.0038166108823807,14:05
10,9.700110857575758,16813662505,0.0403768616817476,1.1125493387090102,94.6928959977462,14:10:50,道路8_向右,2,14,1.086235106938108,14:10
10,11.992527763478265,16813665505,0.0234512075424292,0.8998813371827438,95.89151823625468,14:15:50,道路8_向右,3,14,0.9327936039906088,14:15
10,12.692161052173912,16813668505,0.0234512075424292,0.8502769446146897,96.09213700309132,14:20:50,道路8_向右,4,14,0.8950363375924619,14:20
10,11.997535908641972,16813671505,0.016517807051624,0.8995056986848854,96.031705469033,14:25:50,道路8_向右,5,14,0.9181379988343172,14:25
10,11.183786596680498,16813674505,0.0491455740671777,0.9649551005562972,95.11444820185878,14:30:50,道路8_向右,6,14,0.9887407810774343,14:30
10,11.307498537647058,16813677505,0.0346670024540258,0.9543978169946014,95.4467172481766,14:35:50,道路8_向右,7,14,0.9505181409950718,14:35
10,7.867569667445257,16813680505,0.0279375255070678,1.3716881293920986,93.89362826608124,14:40:50,道路8_向右,8,14,1.35384576202207,14:40
10,11.051508789108912,16813683505,0.0411925558571365,0.9765048488795666,95.22679705230183,14:45:50,道路8_向右,9,14,1.7093963889573487,14:45
10,9.455926515503874,16813686505,0.0263061371562901,1.1412791652204308,94.85811629520592,14:50:50,道路8_向右,10,14,1.149000361978118,14:50
10,9.859373441721855,16813689505,0.0307924551209287,1.0945778637750123,94.95726751349446,14:55:50,道路8_向右,11,14,1.135548423788494,14:55
1001,1.459596965698324,16813656090,0.1659503973098006,4.8505804741877645,73.13586361814399,14:00:09,道路13_向上,0,24,2.635299155677811,14:00
1001,1.637384190070707,16813659090,0.0917826219758115,4.32390430110008,77.17574987518266,14:05:09,道路13_向上,1,24,2.079828903951999,14:05
1001,6.144512073125,16813662090,0.0370838876669945,1.1522302271918687,93.6652991371476,14:10:09,道路13_向上,2,24,1.2149827017422337,14:10
1001,6.179879342187499,16813665090,0.0296671101335956,1.145636047239382,93.84564339579094,14:15:09,道路13_向上,3,24,1.2099375591951729,14:15
1001,5.424444575,16813668090,0.0241045269835464,1.3051829443754617,93.18244090746498,14:20:09,道路13_向上,4,24,1.6620233847636243,14:20
1001,4.450051888636363,16813671090,0.020396138216847,1.590968536811714,91.86938121285384,14:25:09,道路13_向上,5,24,3.177893697620573,14:25
1001,2.920667623943662,16813674090,0.0329119503044576,2.424066499028842,87.57513690429154,14:30:09,道路13_向上,6,24,3.3262733583992428,14:30
1001,5.318598570588235,16813677090,0.0157606522584726,1.331157531074387,93.22323555824418,14:35:09,道路13_向上,7,24,2.9822693642041864,14:35
1001,4.972492165333333,16813680090,0.0347661446878074,1.4238117037888578,92.39337450807014,14:40:09,道路13_向上,8,24,4.205442561674626,14:40
