road_sec_id,v_mean,ms_no,occupancy,delay_point,health_point,time,road
1,0,16813584000,0.238640586,0,95.22718828,12:00:00,路口5
1,2.774669933,16813584100,0.43551907,2.359044476,85.22552722,12:00:10,路口5
1,0.334921635,16813584200,0.477281172,19.543586,41.57531625,12:00:20,路口5
1,0,16813584300,0.477281172,0,90.45437656,12:00:30,路口5
1,1.02164968,16813584400,0.51307726,6.406863238,73.65999772,12:00:40,路口5
1,0.09461177,16813584500,0.477281172,69.18346192,-82.50995494,12:00:50,路口5
1,1.75668758,16813584600,0.280402689,3.726086445,84.97132886,12:01:00,路口5
1,5.133930411,16813584700,0.113354278,1.2749627,94.23747186,12:01:10,路口5
1,0,16813584800,0,0,100,12:01:20,路口5
1,0,16813584900,0,0,100,12:01:30,路口5
1,0,16813585000,0,0,100,12:01:40,路口5
1,14.7618105,16813585100,0.011932029,0.443412397,97.76711979,12:01:50,路口5
1,11.09021619,16813585200,0.047728117,0.590211198,96.90449669,12:02:00,路口5
1,1.887243967,16813585300,0.119320293,3.468322004,88.82955449,12:02:10,路口5
1,0,16813585400,0.119320293,0,97.61359414,12:02:20,路口5
1,3.787399782,16813585500,0.25653863,1.728248971,90.32136098,12:02:30,路口5
1,1.814013909,16813585600,0.268470659,3.608334945,85.50090862,12:02:40,路口5
1,0,16813585700,0.238640586,0,95.22718828,12:02:50,路口5
1,0,16813585800,0.238640586,0,95.22718828,12:03:00,路口5
1,0,16813585900,0.238640586,0,95.22718828,12:03:10,路口5
1,1.110622325,16813586000,0.047728117,5.893605441,84.24478671,12:03:20,路口5
1,12.82837895,16813586100,0.113354278,0.51024138,95.68760825,12:03:30,路口5
1,13.775651,16813586200,0.005966015,0.475155024,97.86625309,12:03:40,路口5
1,0,16813586300,0,0,100,12:03:50,路口5
1,0,16813586400,0,0,100,12:04:00,路口5
1,0,16813586500,0,0,100,12:04:10,路口5
1,7.618632018,16813586600,0.065626161,0.859152898,96.08247661,12:04:20,路口5
1,2.427033038,16813586700,0.310232762,2.696943006,86.90736526,12:04:30,路口5
1,0.531794652,16813586800,0.405688996,12.30845356,61.08317849,12:04:40,路口5
1,0.213318378,16813586900,0.387790952,30.68450946,15.5201082,12:04:50,路口5
1,5.767371268,16813587000,0.137218337,1.134931232,94.0722629,12:05:00,路口5
