0,1,2,3,4,5,time_id,turn,cross_id,avg_delay,time_min,croid
17,16813548060,17,11:00:06,30.625,路口8,0,左,25,26.0719696969697,11:00,7
17,16813551060,19,11:05:06,32.9375,路口8,1,左,25,29.634722222222223,11:05,7
17,16813554060,19,11:10:06,35.0,路口8,2,左,25,22.75,11:10,7
17,16813557060,13,11:15:06,28.8,路口8,3,左,25,27.35925925925926,11:15,7
17,16813560060,18,11:20:06,36.2,路口8,4,左,25,22.64583333333333,11:20,7
17,16813563060,24,11:25:06,38.66666666666666,路口8,5,左,25,25.42171717171717,11:25,7
17,16813566060,20,11:30:06,29.571428571428573,路口8,6,左,25,26.007936507936503,11:30,7
17,16813569060,22,11:35:06,25.61111111111111,路口8,7,左,25,20.759844054580896,11:35,7
17,16813572060,21,11:40:06,41.85714285714285,路口8,8,左,25,31.731746031746027,11:40,7
17,16813575060,26,11:45:06,31.071428571428573,路口8,9,左,25,48.48214285714285,11:45,7
17,16813578060,33,11:50:06,26.3125,路口8,10,左,25,28.98968855218856,11:50,7
17,16813581060,31,11:55:06,22.785714285714285,路口8,11,左,25,28.59523809523809,11:55,7
26,16813548355,29,11:00:35,17.59090909090909,路口8,0,右,26,26.0719696969697,11:00,7
26,16813551355,18,11:05:35,17.166666666666668,路口8,1,右,26,29.634722222222223,11:05,7
26,16813554355,22,11:10:35,7.25,路口8,2,右,26,22.75,11:10,7
26,16813557355,23,11:15:35,14.0,路口8,3,右,26,27.35925925925926,11:15,7
26,16813560355,20,11:20:35,12.6875,路口8,4,右,26,22.64583333333333,11:20,7
26,16813563355,21,11:25:35,17.181818181818183,路口8,5,右,26,25.42171717171717,11:25,7
26,16813566355,24,11:30:35,9.785714285714286,路口8,6,右,26,26.007936507936503,11:30,7
26,16813569355,26,11:35:35,4.368421052631579,路口8,7,右,26,20.759844054580896,11:35,7
26,16813572355,32,11:40:35,11.266666666666667,路口8,8,右,26,31.731746031746027,11:40,7
26,16813575355,27,11:45:35,78.0,路口8,9,右,26,48.48214285714285,11:45,7
26,16813578355,18,11:50:35,8.61111111111111,路口8,10,右,26,28.98968855218856,11:50,7
26,16813581355,17,11:55:35,18.5,路口8,11,右,26,28.59523809523809,11:55,7
78,16813548015,15,11:00:01,30.0,路口8,0,上,27,26.0719696969697,11:00,7
78,16813551015,18,11:05:01,38.8,路口8,1,上,27,29.634722222222223,11:05,7
78,16813554015,23,11:10:01,26.0,路口8,2,上,27,22.75,11:10,7
78,16813557015,26,11:15:01,39.27777777777778,路口8,3,上,27,27.35925925925926,11:15,7
78,16813560015,28,11:20:01,19.05,路口8,4,上,27,22.64583333333333,11:20,7
78,16813563015,27,11:25:01,20.416666666666668,路口8,5,上,27,25.42171717171717,11:25,7
78,16813566015,21,11:30:01,38.66666666666666,路口8,6,上,27,26.007936507936503,11:30,7
78,16813569015,27,11:35:01,32.3,路口8,7,上,27,20.759844054580896,11:35,7
78,16813572015,23,11:40:01,42.07142857142857,路口8,8,上,27,31.731746031746027,11:40,7
78,16813575015,27,11:45:01,36.375,路口8,9,上,27,48.48214285714285,11:45,7
78,16813578015,27,11:50:01,52.04545454545455,路口8,10,上,27,28.98968855218856,11:50,7
78,16813581015,19,11:55:01,44.5,路口8,11,上,27,28.59523809523809,11:55,7
